tensor([[ 3.4533e-01, -2.3784e-01,  1.8937e+00,  5.3469e-02,  1.0443e+00,
         -7.0996e-01, -2.8567e+00, -7.1003e-01,  1.1038e+00,  1.4617e+00],
        [-5.4137e-01, -7.7387e-01,  9.6649e-01, -7.4574e-01, -4.7522e-02,
          1.5270e+00,  7.1109e-01,  1.0204e+00,  8.2379e-01,  1.4644e+00],
        [-5.6337e-01,  6.9893e-01, -3.6295e-01, -4.4559e-01,  4.3359e-01,
         -1.1325e+00,  3.5207e-01, -5.5376e-01, -3.5657e-01,  1.4347e+00],
        [-1.0901e+00,  1.8797e-01, -2.4147e-01,  1.3488e+00, -9.2667e-02,
          1.5561e-01,  1.0394e+00,  1.7350e-02, -1.1216e+00, -5.2860e-01],
        [ 1.8044e+00,  1.5809e+00,  5.3645e-01, -2.4235e-01, -5.0423e-01,
          1.4569e-02, -1.3267e-01,  3.8706e-01,  1.1808e+00, -1.4292e-01],
        [ 4.0586e-01,  1.3333e+00,  7.1263e-01,  1.8881e+00,  3.5706e-02,
          1.2319e+00,  5.2567e-01,  5.6895e-01,  1.4032e+00,  5.3684e-01],
        [-2.7396e-01, -1.1165e-01, -1.0666e+00, -1.0082e+00,  1.4322e+00,
         -3.8765e-02, -9.5667e-01, -4.3548e-01,  8.1479e-01, -1.0797e+00],
        [-4.4351e-01, -1.4068e-01, -3.3752e-01, -1.0826e+00,  8.5435e-01,
         -5.7241e-01,  4.1628e-01, -8.7386e-01,  6.6248e-01,  7.5018e-01],
        [ 1.6385e+00,  1.5153e+00,  5.7487e-01, -2.6910e-01,  1.2596e+00,
         -1.0242e+00,  5.1790e-02, -2.9029e-01,  9.4886e-01, -1.5067e+00],
        [ 7.9325e-02, -3.4425e-01, -1.3331e+00,  1.7798e-01, -9.4470e-01,
         -1.2793e+00, -1.8173e-01,  1.4056e+00, -6.7924e-01, -1.9514e-02],
        [ 1.9861e+00,  1.6401e-01,  7.9701e-01, -1.8985e+00,  7.4882e-01,
          6.1316e-01, -6.4598e-02,  4.0986e-01, -1.1393e+00,  1.9957e+00],
        [-7.0617e-01, -5.4588e-01, -1.6196e+00, -6.2825e-01, -3.7207e-01,
          1.1886e+00, -1.0544e+00, -1.5799e-01,  1.1854e+00, -6.7277e-02],
